"wykaz","pozycja na liście","Tytuł","ISSN","Liczba punktów"
"A","1","4OR-A Quarterly Journal of Operations Research","1619-4500","25"
"A","2","AAOHN JOURNAL","0891-0162","20"
"A","3","AAPG BULLETIN","0149-1423","35"
"A","4","AAPS Journal","1550-7416","45"
"A","5","AAPS PHARMSCITECH","1530-9932","20"
"A","6","AATCC REVIEW","1532-8813","15"
"A","7","Abacus-A Journal of Accounting Finance and Business Studies","0001-3072","25"
"A","8","ABDOMINAL IMAGING","0942-8925","25"
"A","9","ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","0025-5858","20"
"A","10","Abstract and Applied Analysis","1085-3375","35"
"A","11","ACAD MANAGE J","0001-4273","50"
"A","12","ACAD MANAGE REV","0363-7425","50"
"A","13","Academia-Revista Latinoamericana de Administracion","1012-8255","15"
"A","14","ACADEMIC EMERGENCY MEDICINE","1069-6563","35"
"A","15","ACADEMIC MEDICINE","1040-2446","45"
"A","16","Academic Pediatrics","1876-2859","40"
"A","17","ACADEMIC PSYCHIATRY","1042-9670","25"
"A","18","ACADEMIC RADIOLOGY","1076-6332","25"
"A","19","Academy of Management Annals","1941-6520","45"
"A","20","Academy of Management Learning & Education","1537-260X","45"
"A","21","Academy of Management Perspectives","1558-9080","35"
"A","22","ACCIDENT ANALYSIS AND PREVENTION","0001-4575","40"
"A","23","Accountability in Research-Policies and Quality Assurance","0898-9621","20"
"A","24","ACCOUNTING AND BUSINESS RESEARCH","0001-4788","20"
"A","25","Accounting and Finance","0810-5391","20"
"A","26","Accounting Auditing & Accountability Journal","0951-3574","20"
"A","27","Accounting Horizons","0888-7993","25"
"A","28","ACCOUNTING ORGANIZATIONS AND SOCIETY","0361-3682","40"
"A","29","ACCOUNTING REVIEW","0001-4826","45"
"A","30","ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","50"
"A","31","ACCREDITATION AND QUALITY ASSURANCE","0949-1775","20"
"A","32","ACI MATERIALS JOURNAL","0889-325X","30"
"A","33","ACI STRUCTURAL JOURNAL","0889-3241","30"
"A","34","ACM COMPUTING SURVEYS","0360-0300","50"
"A","35","ACM Journal on Emerging Technologies in Computing Systems","1550-4832","20"
"A","36","ACM SIGPLAN NOTICES","0362-1340","20"
"A","37","ACM Transactions on Algorithms","1549-6325","15"
"A","38","ACM Transactions on Applied Perception","1544-3558","25"
"A","39","ACM Transactions on Architecture and Code Optimization","1544-3566","20"
"A","40","ACM Transactions on Autonomous and Adaptive Systems","1556-4665","25"
"A","41","ACM Transactions on Computational Logic","1529-3785","35"
"A","42","ACM TRANSACTIONS ON COMPUTER SYSTEMS","0734-2071","40"
"A","43","ACM Transactions on Computer-Human Interaction","1073-0516","25"
